date_label,temp_max,temp_min,precip_sum
06-01,73.94,52.97,0.07152230971128609
06-02,77.09,56.27,0.03740157480314961
06-03,77.87,58.79,0.19028871391076116
06-04,79.46,58.910000000000004,0.028215223097112854
06-05,81.59,61.279999999999994,0.19881889763779528
06-06,83.80999999999999,64.73,0.3110236220472441
06-07,80.09,62.57000000000001,0.03346456692913386
06-08,79.19,61.309999999999995,0.05511811023622048
06-09,79.75999999999999,60.67999999999999,0.09448818897637795
06-10,78.95,60.589999999999996,0.11745406824146981
06-11,78.02,62.209999999999994,0.1594488188976378
06-12,78.97999999999999,63.470000000000006,0.1141732283464567
06-13,79.85,61.25,0.030183727034120734
06-14,75.95,61.67,0.33792650918635175
06-15,76.61,61.1,0.03937007874015748
06-16,74.27000000000001,59.81,0.18503937007874016
06-17,79.19,60.410000000000004,0.026902887139107608
06-18,79.52000000000001,62.269999999999996,0.08858267716535434
06-19,82.25,64.82000000000001,0.0583989501312336
06-20,82.46,63.29,0.007874015748031496
06-21,84.14000000000001,66.11,0.02099737532808399
06-22,81.65,66.26,0.11286089238845146
06-23,83.96,66.56,0.10826771653543307
06-24,83.75,68.0,0.12270341207349082
06-25,87.92,67.94,0.014435695538057743
06-26,85.79,67.82000000000001,0.04527559055118111
06-27,80.78,67.52000000000001,0.33858267716535434
06-28,84.32000000000001,66.44,0.03608923884514436
06-29,86.21,67.67,0.01640419947506562
06-30,89.21,68.42,0.21850393700787402
07-01,84.8,68.03,0.2559055118110236
07-02,84.97999999999999,68.36,0.400262467191601
07-03,84.02000000000001,68.21000000000001,0.33792650918635175
07-04,83.78,66.2,0.07152230971128609
07-05,87.92,68.69,0.01640419947506562
07-06,91.16,71.33,0.03477690288713911
07-07,86.0,72.32000000000001,0.053805774278215215
07-08,87.53,71.9,0.23425196850393704
07-09,86.05999999999999,71.57000000000001,0.38123359580052496
07-10,81.77000000000001,71.24000000000001,0.3779527559055118
07-11,85.16,68.69,0.11614173228346457
07-12,88.04,70.25,0.15223097112860892
07-13,86.78,70.91,0.20078740157480315
07-14,86.57000000000001,71.06,0.37926509186351715
07-15,85.16,70.7,0.07349081364829398
07-16,84.95,71.6,0.3805774278215223
07-17,87.74000000000001,71.39,0.3786089238845144
07-18,86.57000000000001,71.6,0.18832020997375332
07-19,86.12,68.75,0.026246719160104987
07-20,89.81,70.52000000000001,0.04396325459317585
07-21,88.00999999999999,71.17999999999999,0.07545931758530185
07-22,85.49000000000001,68.81,0.05249343832020997
07-23,86.24000000000001,68.57,0.08005249343832022
07-24,85.52000000000001,69.35,0.21522309711286094
07-25,88.34,71.3,0.30446194225721784
07-26,87.65,69.17,0.0026246719160104987
07-27,88.78999999999999,68.57,0.06955380577427822
07-28,89.93,71.33,0.02755905511811024
07-29,89.21,72.14,0.2690288713910761
07-30,88.67,70.94,0.05971128608923885
07-31,84.59,66.2,0.2073490813648294
08-01,81.59,65.84,0.060367454068241476
08-02,84.74,67.37,0.09448818897637795
08-03,84.83,67.00999999999999,0.10826771653543307
08-04,84.08000000000001,68.3,0.23818897637795275
08-05,87.44,68.27000000000001,0.004593175853018373
08-06,85.4,68.15,0.33398950131233596
08-07,83.18,69.44,0.4041994750656169
08-08,80.87,68.63,0.3110236220472441
08-09,86.36,70.1,0.21128608923884515
08-10,85.97,69.5,0.12598425196850394
08-11,86.84,70.52000000000001,0.029527559055118113
08-12,86.96,68.72,0.10629921259842519
08-13,84.77000000000001,70.19,0.11482939632545931
08-14,85.75999999999999,68.63,0.05118110236220473
08-15,84.25999999999999,68.3,0.13582677165354332
08-16,81.22999999999999,67.64,0.1463254593175853
08-17,82.1,68.17999999999999,0.1489501312335958
08-18,80.99000000000001,66.41,0.3254593175853019
08-19,81.59,65.84,0.1732283464566929
08-20,79.88,64.16,0.03149606299212599
08-21,79.91,64.31,0.009186351706036745
08-22,78.77000000000001,65.21,0.5839895013123361
08-23,82.25,65.03,0.25918635170603677
08-24,84.5,66.65,0.01640419947506562
08-25,87.89,67.7,0.07611548556430446
08-26,84.59,67.72999999999999,0.11745406824146984
08-27,85.72999999999999,66.89,0.024278215223097116
08-28,83.45,67.46,0.04199475065616798
08-29,80.24000000000001,67.7,0.19422572178477693
08-30,81.22999999999999,66.2,0.07742782152230972
08-31,79.91,64.37,0.006561679790026247
